date,pe_ttm,dividend_yield_ttm,erp,pe_ttm_mean,pe_ttm_std,pe_ttm_pctile,erp_mean,erp_std,erp_pctile,cn10y
2024-04-24,8.8658,4.1762,9.0066,10.419920309130122,1.8180903415478726,14.917325664989217,6.6026823824209,1.6819530214011436,92.0899854862119,2.2727
2024-04-25,8.8908,4.1619,8.9864,10.419370858785484,1.8179946737685309,15.55874955084441,6.603546988013057,1.6822604112448318,91.94776931447225,2.2612
2024-04-26,9.0551,4.0765,8.7351,10.418880818965517,1.8178519638213528,20.689655172413794,6.604319849873821,1.6824448829148704,90.17403915881074,2.3084
2024-04-29,9.1095,4.0625,8.6246,10.41841066427289,1.8176948553200072,22.477558348294437,6.605052100743747,1.6825794604676656,88.80028996013048,2.353
2024-04-30,9.1252,4.0569,8.6559,10.417946482412061,1.8175336920234866,23.259152907394114,6.605795161576811,1.682727322556344,89.16666666666667,2.3028
2024-05-02,9.2866,3.9669,8.4654,10.417540545389308,1.8173339024878747,29.852888410477213,6.606468687414703,1.6827946162018137,86.63527707352408,
2024-05-03,9.4123,3.9104,8.3216,10.417179985652798,1.8171076519754439,34.28981348637016,6.607089661821867,1.6828063217856202,84.57639391745111,
2024-05-06,9.4605,3.8794,8.2622,10.416836966654715,1.816872138227838,35.81929006812478,6.60768868836482,1.6827962737446778,83.56858487151648,2.3081
2024-05-07,9.4345,3.8999,8.3098,10.416484874551971,1.816641668830841,35.26881720430107,6.6083045028769885,1.6828031892315298,84.5151953690304,2.2896
2024-05-08,9.3548,3.9512,8.3942,10.416104478681477,1.8164273257908259,32.103188821211035,6.608950396366003,1.6828414916563934,85.38878842676311,2.2955
2024-05-09,9.4734,4.1105,8.2373,10.415766833810888,1.8161896042911487,36.28223495702006,6.609539098319595,1.6828220069231945,83.11641359363702,2.3186
2024-05-10,9.7234,4.02,7.9723,10.415518940207662,1.8159116846399106,45.50662370211243,6.610031603162992,1.6827172606860237,79.86989519335019,2.3122
2024-05-13,9.7875,3.9306,7.9271,10.41529416607015,1.815625550079434,47.35146743020759,6.610507422670519,1.6825994430008788,79.22687861271676,2.29
2024-05-14,9.7655,3.9591,7.9463,10.415061681574239,1.8153423161910462,46.65474060822898,6.610989832413145,1.6824870313279572,79.41495124593716,2.2938
2024-05-16,9.9471,3.8667,7.7385,10.414894313304721,1.8150392233649397,51.60944206008584,6.611396875794945,1.6823196647764584,76.75090252707581,2.3147
2024-05-17,10.0394,3.9712,7.6531,10.414760064354667,1.814728616712832,53.87915623882732,6.611772806189822,1.6821324433899758,75.60447491880188,2.3077
2024-05-20,10.0817,3.8311,7.6085,10.414641029306647,1.8144152187769234,54.824874910650465,6.61213237588456,1.6819355078209999,74.85569985569985,2.3105
2024-05-21,9.8989,3.9218,7.788,10.414456770275098,1.8141172539656378,50.51804215791355,6.612556417580959,1.6817804043166917,77.28092318788316,2.3141
2024-05-22,9.8741,3.9767,7.8152,10.414263785714287,1.8138220115593173,49.785714285714285,6.612989958886804,1.6816322221797542,77.577505407354,2.3123
2024-05-23,9.6862,4.0374,8.0177,10.414003855765799,1.8135503590681552,43.948589789360945,6.613496160703423,1.6815405683046056,80.36036036036036,2.3063
2024-05-24,9.5688,3.9611,8.1372,10.41370221270521,1.8132969894270459,39.79300499643112,6.614045045371757,1.6814862886860251,81.664265129683,2.3134
2024-05-27,9.6798,3.8516,8.0224,10.413440385301463,1.8130264790465678,43.64966107741705,6.614552195157364,1.6813958430601899,80.41051494418437,2.3084
2024-05-28,9.6898,3.906,8.0207,10.413182310984308,1.8127546505280059,44.07988587731811,6.615058367873289,1.6813047929519482,80.34557235421165,2.2994
2024-05-29,9.5402,4.0384,8.2044,10.412871087344028,1.8125064168349285,38.68092691622103,6.615630279219863,1.6812725082237838,82.61964735516372,2.2776
